vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
99393310,2021-01-26,2020-09-15,21,158,EA,AL
56486784,2021-01-26,2020-09-15,25,146,EA,AL
37264786,2021-01-26,2020-09-15,21,162,EA,AL
13702204,2021-01-26,2020-09-16,0,998,EA,AL
91766624,2021-01-27,2020-09-17,32,102,EA,AL
37747601,2021-01-28,2020-09-17,25,148,EA,AL
61116985,2021-01-28,2020-09-18,0,998,EA,AL
27053684,2021-01-28,2020-09-18,0,998,EA,AL
24735905,2021-02-02,2020-09-21,0,998,EA,AL
98117264,2021-02-02,2020-09-21,12,177,EA,AL
22568209,2021-02-02,2020-09-23,21,157,EA,AL
37753899,2021-02-02,2020-09-23,15,0,EA,AL
88642867,2021-02-12,2020-09-24,0,998,EA,AL
19219327,2021-02-15,2020-09-25,25,145,EA,AL
88463223,2021-02-09,2020-09-28,12,168,IA,AL
16532399,2021-02-09,2020-09-29,31,115,EA,AL
12420516,2021-02-09,2020-09-29,0,998,EA,AL
14539684,2021-02-09,2020-09-30,35,79,EA,AL
40129256,2021-02-09,2020-09-30,0,998,EA,AL
57218144,2021-02-09,2020-09-30,25,153,EA,AL
58841151,2021-02-09,2020-09-30,31,123,EA,AL
68874964,2020-10-01,2020-09-30,0,0,IA,AL
23757324,2021-02-09,2020-09-30,25,144,EA,AL
82550705,2021-02-09,2020-09-30,21,159,EA,AL
78712143,2020-12-15,2020-10-02,0,248,EA,AL
23177340,2021-02-12,2020-10-05,21,162,EA,AL
28482793,2021-02-12,2020-10-02,25,144,EA,AL
93470809,2021-02-15,2020-10-03,29,128,EA,AL
55855204,2021-02-16,2020-10-03,28,137,IA,AL
31863493,2021-02-16,2020-10-05,28,135,IA,AL
47553776,2021-02-16,2020-10-05,31,124,EA,AL
84730751,2021-02-22,2020-10-05,0,998,EA,AL
47765669,2021-02-22,2020-10-07,0,998,EA,AL
58356448,2021-02-25,2020-10-08,32,104,EA,AL
81132353,2021-02-19,2020-10-09,12,170,EA,AL
89231634,2021-03-02,2020-10-09,31,123,IA,AL
61539415,2021-02-19,2020-10-09,0,998,EA,AL
20559143,2021-02-22,2020-10-10,40,59,EA,AL
38067268,2021-02-23,2020-10-12,35,82,EA,AL
42488400,2021-03-01,2020-10-13,0,998,IA,AL
